project_description,main_service,sub_service,material
고압 증기용 스테인리스 스틸 플랜지,단조(forging),형 단조,스테인리스 스틸
건축용 열반사 코팅 유리,표면처리,코팅,유리
스마트폰용 초박형 디스플레이 패널,전자회로(pcb),SMT/PCB 조립,해당 없음
농업 기계용 강화 고무 트랙,특수성형,고무 성형,고무
데이터 센터용 고속 광섬유 케이블,인발(drawing),선재,유리
산업용 내화학성 테플론 씰,플라스틱 성형,기타 플라스틱 성형,테플론
금형 제작용 초경합금 인서트,열처리,비철/특수금속 열처리,초경합금
자동차 배기 시스템용 내열 합금 파이프,제관,용접,내열 합금
에너지 저장 장치용 고용량 전력 커패시터,전자회로(pcb),SMT/PCB 조립,해당 없음
냉각 시스템용 정밀 구리 히트싱크,절삭(CNC),밀링,구리
섬유 산업용 특수 코팅 롤러,표면처리,코팅,해당 없음
제약 공정용 위생 펌프 임펠러,절삭(CNC),5축가공,스테인리스 스틸
광학기기용 반사 방지 코팅 렌즈,표면처리,코팅,유리
산업용 고해상도 비전 센서,전자회로(pcb),SMT/PCB 조립,해당 없음
공기 정화 시스템용 HEPA 필터 미디어,압연(rolling),기타 압연,섬유
로봇 관절용 고정밀 감속기,조립,해당 없음,해당 없음
인쇄 회로 기판용 표면 실장형 커패시터,전자회로(pcb),SMT/PCB 조립,해당 없음
우주 발사체용 초경량 복합재 브라켓,금형/사출성형,성형,복합재
고속 회전용 정밀 강철 볼트,전조(form rolling),나사 전조,강철
반도체 제조용 불소수지 코팅 부품,표면처리,코팅,불소수지
의료용 저자극성 실리콘 튜브,압출,직접 압출,실리콘
정밀 알루미늄 가공 부품,절삭(CNC),밀링,금속
고무 재질의 방수 O링,금형/사출성형,일반사출,고무
투명 아크릴 레이저 커팅 명판,커팅,레이저 커팅,아크릴
산업용 다층 PCB 기판,전자회로(pcb),제작,해당 없음
자동차 엔진용 고강도 단조 크랭크샤프트,단조(forging),형 단조,금속
스테인리스 스틸 의료용 나사,전조(form rolling),나사 전조,금속
실리콘 고무 사출 성형 패킹,금형/사출성형,LIM(액상사출/실리콘사출),고무
광학 등급 유리 프리즘,절삭(CNC),밀링,유리/세라믹
티타늄 합금 항공기 랜딩기어 부품,절삭(CNC),5축가공,금속
내열성 폴리카보네이트 보호 커버,금형/사출성형,일반사출,플라스틱
구리 합금 전기 접점 단자,프레스,성형,금속
고정밀 볼 베어링 어셈블리,조립,해당 없음,해당 없음
플라스틱 사출 성형 ABS 하우징,금형/사출성형,일반사출,플라스틱
극저온용 스테인리스 스틸 밸브 바디,주조,인베스트먼트주조,금속
방수형 IP67 등급 전원 커넥터,조립,해당 없음,해당 없음
비철금속 주조 알루미늄 케이스,주조,금형주조(다이캐스팅),금속
강화 유리 터치 스크린 패널,커팅,워터젯 커팅,유리/세라믹
고장력 강철 용접 구조물,용접,아크 용접,금속
나일론 재질의 기계 부품 기어,금형/사출성형,일반사출,나일론
친환경 재활용 플라스틱 펠릿,압출,기타 압출 성형,플라스틱
고주파 PCB용 FR-4 라미네이트,전자회로(pcb),제작,해당 없음
항공우주 등급 탄소섬유 복합재 패널,특수성형,기타 특수 성형,해당 없음
액체 실리콘 고무(LSR) 의료기기 부품,금형/사출성형,LIM(액상사출/실리콘사출),고무
전해 도금 아연 코팅 강판,표면처리,도금 (plating),금속
핫멜트 접착제 산업용 스틱,압출,기타 압출 성형,플라스틱
LED 조명용 알루미늄 방열판,압출,직접 압출,금속
내마모성 세라믹 코팅 롤러,표면처리,코팅,금속
CNC 가공 황동 커넥터 핀,절삭(CNC),선반,금속
유압 시스템용 고압 호스 피팅,절삭(CNC),밀링,금속
산업용 등급 PVC 파이프 연결구,금형/사출성형,일반사출,플라스틱
초경합금 절삭 공구 인서트,절삭(CNC),밀링,금속
스마트폰용 초박형 글라스 커버,커팅,레이저 커팅,유리/세라믹
식품 등급 스테인리스 스틸 펌프 임펠러,주조,인베스트먼트주조,금속
고성능 네오디뮴 자석 모듈,조립,해당 없음,금속
광섬유 통신용 광케이블,압출,기타 압출 성형,해당 없음
로봇 팔용 정밀 감속기 유닛,조립,해당 없음,해당 없음
전기차 배터리용 니켈 도금 버스바,표면처리,도금 (plating),금속
진공 성형 PET 투명 블리스터 트레이,플라스틱 성형,진공 성형,플라스틱
해양 환경용 내식성 합금 볼트,전조(form rolling),나사 전조,금속
반도체 제조용 쿼츠 글라스 튜브,인발(drawing),관재,유리/세라믹
유연성 FPC (Flexible Printed Circuit) 필름,전자회로(pcb),제작,해당 없음
초고분자량 폴리에틸렌(UHMW-PE) 가이드 레일,압출,직접 압출,플라스틱
자동차 인테리어용 압축 성형 부직포,프레스,압축,해당 없음
태양광 패널용 강화 알루미늄 프레임,압출,직접 압출,금속
진동 흡수용 고밀도 발포 고무 패드,플라스틱 성형,발포 성형,고무
의료용 멸균 포장재 폴리프로필렌 필름,압출,기타 압출 성형,플라스틱
풍력 발전기용 대형 복합재 블레이드,특수성형,기타 특수 성형,해당 없음
고속 기어 박스용 경화 강철 기어,절삭(CNC),기어가공(호빙),금속
반도체 장비용 정밀 세라믹 부품,절삭(CNC),밀링,유리/세라믹
건설 중장비용 유압 실린더 로드,인발(drawing),봉재,금속
정밀 가공 알루미늄 하우징,절삭(CNC),밀링,알루미늄
고장력 탄소강 볼트,단조(forging),냉간 단조,탄소강
내열성 실리콘 개스킷,금형/사출성형,LIM(액상사출/실리콘사출),실리콘
방수형 원형 커넥터,금형/사출성형,일반사출,해당 없음
다층 인쇄회로기판 (PCB),전자회로(pcb),제작,해당 없음
자동차용 단조 크랭크샤프트,단조(forging),형 단조,해당 없음
산업용 고무 댐퍼,특수성형,고무 성형,고무
초소형 SMD LED 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
고강도 스테인리스 스틸 브라켓,판금,벤딩/절곡,스테인리스 스틸
내화학성 폴리프로필렌 탱크,플라스틱 성형,블로우 몰딩,폴리프로필렌
비상 정지 푸시버튼 스위치,조립,해당 없음,해당 없음
고속 회전용 세라믹 베어링,연마/폴리싱,해당 없음,세라믹
저소음 유성 기어박스,조립,해당 없음,해당 없음
의료용 등급 실리콘 튜브,압출,직접 압출,실리콘
CNC 가공 황동 부싱,절삭(CNC),선반,황동
EMI 차폐용 전도성 가스켓,금형/사출성형,일반사출,해당 없음
중부하용 유압 실린더,조립,해당 없음,해당 없음
고해상도 산업용 카메라 렌즈,연마/폴리싱,해당 없음,해당 없음
유연성 FPC (연성 인쇄회로기판),전자회로(pcb),제작,해당 없음
고정밀 스테핑 모터,조립,해당 없음,해당 없음
내구성 강화 ABS 플라스틱 사출물,금형/사출성형,일반사출,ABS 플라스틱
방폭형 전기 제어반,제관,벤딩/절곡,해당 없음
고효율 공기 필터 카트리지,조립,해당 없음,해당 없음
특수 코팅 강화 유리 패널,표면처리,코팅,유리
고정밀 주조 알루미늄 밸브 바디,주조,금형주조(다이캐스팅),알루미늄
내마모성 폴리우레탄 롤러,특수성형,고무 성형,폴리우레탄
고압용 스테인리스 스틸 호스,인발(drawing),관재,스테인리스 스틸
비접촉식 온도 센서 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
정전기 방지 ESD 매트,플라스틱 성형,기타 플라스틱 성형,해당 없음
자동화 설비용 서보 모터 드라이버,전자회로(pcb),설계,해당 없음
초경합금 절삭 인서트,압출,분말 압출,초경합금
내후성 아웃도어 케이블,압출,직접 압출,해당 없음
고주파 동축 케이블 어셈블리,조립,해당 없음,해당 없음
광학 센서용 프리즘 부품,연마/폴리싱,해당 없음,해당 없음
내충격성 폴리카보네이트 보호 커버,금형/사출성형,일반사출,폴리카보네이트
고속 전송용 RJ45 커넥터,금형/사출성형,일반사출,해당 없음
진동 방지 고무 마운트,특수성형,고무 성형,고무
고온용 세라믹 히터 엘리먼트,압출,직접 압출,세라믹
정밀 다이캐스팅 아연 합금 부품,주조,금형주조(다이캐스팅),아연 합금
유압 시스템용 파워 유닛,조립,해당 없음,해당 없음
레이저 가공 티타늄 플레이트,커팅,레이저 커팅,티타늄
전력용 구리 부스바,압출,직접 압출,구리
저마찰 고분자 베어링 부시,금형/사출성형,일반사출,고분자
고강성 탄소섬유 복합재 패널,특수성형,기타 특수 성형,탄소섬유 복합재
인체 감지용 PIR 센서,전자회로(pcb),SMT/PCB 조립,해당 없음
공압 제어용 솔레노이드 밸브,조립,해당 없음,해당 없음
고내구성 산업용 터치스크린,조립,해당 없음,해당 없음
소형 정밀 기어 세트,절삭(CNC),기어가공(호빙),해당 없음
환경 등급 방진 방수 밀봉재,특수성형,고무 성형,해당 없음
고강도 탄소섬유 복합재 패널,플라스틱 성형,기타 플라스틱 성형,탄소섬유 복합재
산업용 고정밀 위치 센서,전자회로(pcb),설계,해당 없음
자동화 로봇용 서보 모터,조립,해당 없음,해당 없음
자동차 전조등용 투명 폴리카보네이트 렌즈,금형/사출성형,일반사출,폴리카보네이트
의료기기용 생체 적합성 티타늄 임플란트,절삭(CNC),머시닝센터,티타늄
초소형 표면 실장형 LED,전자회로(pcb),SMT/PCB 조립,해당 없음
방수형 원터치 커넥터,금형/사출성형,일반사출,해당 없음
항공기 엔진용 니켈 합금 블레이드,절삭(CNC),5축가공,니켈 합금
고급 스피커용 진동 방지 패드,특수성형,고무 성형,고무
주방가전용 내열성 PP 사출 부품,금형/사출성형,일반사출,PP
풍력 터빈용 대형 베어링,단조(forging),형 단조,해당 없음
방폭형 산업용 스위치,전자회로(pcb),설계,해당 없음
반도체 장비용 진공 챔버,제관,벤딩/절곡,해당 없음
건축용 강화유리 패널,커팅,단순 절단,유리/세라믹
농업용 고무 트랙,특수성형,고무 성형,고무
배터리 팩용 알루미늄 압출 프로파일,압출,직접 압출,알루미늄
의료용 멸균 포장재,플라스틱 성형,기타 플라스틱 성형,해당 없음
고성능 파워 트랜지스터,전자회로(pcb),설계,해당 없음
액정 디스플레이용 백라이트 유닛,조립,해당 없음,해당 없음
전기차 충전기용 고전압 케이블,인발(drawing),선재,해당 없음
드론용 경량 마그네슘 프레임,주조,금형주조(다이캐스팅),마그네슘
펌프용 기계식 밀봉 링,특수성형,고무 성형,고무
도어락용 정밀 주조 아연 합금 부품,주조,금형주조(다이캐스팅),아연 합금
전자제품용 EMC 차폐 가스켓,특수성형,고무 성형,고무
의류 건조기용 열풍 덕트,판금,벤딩/절곡,해당 없음
반도체 웨이퍼 이송 로봇 암,조립,해당 없음,해당 없음
산업용 바코드 스캐너 모듈,전자회로(pcb),설계,해당 없음
고속 열차용 방음 패널,조립,해당 없음,해당 없음
스마트 가전용 무선 통신 모듈,전자회로(pcb),설계,해당 없음
물류 자동화 시스템용 컨베이어 벨트,특수성형,고무 성형,고무
휴대용 발전기용 소형 엔진,조립,해당 없음,해당 없음
의료용 일회용 주사기 바늘,인발(drawing),선재,해당 없음
전기차 배터리 냉각판,압출,직접 압출,해당 없음
초음파 센서용 압전 세라믹 소자,주조,기타주조,유리/세라믹
자동판매기용 동전 인식 모듈,전자회로(pcb),설계,해당 없음
냉동 창고용 단열 패널,플라스틱 성형,발포 성형,해당 없음
산업용 영상 처리 카메라,조립,해당 없음,해당 없음
태양광 발전 시스템용 인버터 케이스,주조,금형주조(다이캐스팅),해당 없음
건설 장비용 유압 실린더,절삭(CNC),보링,해당 없음
식품 가공용 스테인리스 스틸 탱크,제관,벤딩/절곡,스테인리스 스틸
로봇 청소기용 구동 바퀴,금형/사출성형,일반사출,해당 없음
보안 카메라용 IR LED 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
인쇄 회로 기판용 금도금 커넥터,표면처리,도금 (plating),해당 없음
공기 청정기용 헤파 필터,조립,해당 없음,해당 없음
고무 재질의 방진 마운트,특수성형,고무 성형,고무
정밀 측정 장비용 광학 렌즈,연마/폴리싱,해당 없음,유리/세라믹
전기차 모터용 권선,조립,해당 없음,해당 없음
정밀 알루미늄 케이스,절삭(CNC),밀링,알루미늄
고무 재질의 O링,금형/사출성형,LIM(액상사출/실리콘사출),고무
투명 아크릴 명판,커팅,레이저 커팅,아크릴
산업용 PCB 기판,전자회로(pcb),제작,해당 없음
자동차 엔진용 단조 부품,단조(forging),형 단조,금속
고강도 강철 베어링,절삭(CNC),선반,금속
방수형 원형 커넥터,금형/사출성형,일반사출,플라스틱
초정밀 CNC 가공 샤프트,절삭(CNC),선반,금속
고속 회전용 볼 스크류,전조(form rolling),나사 전조,금속
의료기기용 스테인리스 스틸 하우징,판금,벤딩/절곡,금속
항공우주 등급 티타늄 브라켓,절삭(CNC),5축가공,금속
전력용 구리 부스바,압출,직접 압출,금속
자동화 설비용 서보 모터,조립,해당 없음,해당 없음
광학 기기용 비구면 렌즈,연마/폴리싱,해당 없음,유리/세라믹
반도체 장비용 진공 챔버,용접,아크 용접,금속
건설 현장용 고장력 볼트,전조(form rolling),나사 전조,금속
식품 등급 플라스틱 파이프,압출,직접 압출,플라스틱
에너지 저장용 리튬 이온 배터리 셀,조립,해당 없음,해당 없음
산업용 등급 고무 컨베이어 벨트,플라스틱 성형,기타 플라스틱 성형,고무
방폭형 전기 제어 박스,주조,금형주조(다이캐스팅),금속
스마트폰용 초박형 디스플레이 패널,전자회로(pcb),제작,해당 없음
로봇 팔용 경량 탄소섬유 부품,특수성형,기타 특수 성형,해당 없음
펌프 시스템용 메카니컬 씰,연마/폴리싱,해당 없음,해당 없음
인쇄 회로용 구리 코팅 라미네이트,표면처리,코팅,구리
물류 자동화용 바코드 스캐너 모듈,조립,해당 없음,해당 없음
고성능 유압 실린더,절삭(CNC),보링,금속
항공기용 고정밀 유량 센서,조립,해당 없음,해당 없음
풍력 터빈용 대형 기어박스,절삭(CNC),기어가공(호빙),금속
건축 자재용 압출 알루미늄 프로파일,압출,직접 압출,알루미늄
스마트 가전용 무선 통신 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
자동차 시트용 열선 내장 직물,조립,해당 없음,해당 없음
산업용 내화학성 폴리머 튜브,압출,직접 압출,플라스틱
해양 환경용 부식 방지 코팅,표면처리,코팅,해당 없음
농업 기계용 강화 플라스틱 덮개,플라스틱 성형,진공 성형,플라스틱
전기차 충전소용 고전압 케이블,인발(drawing),선재,금속
의료용 일회용 주사기 바늘,인발(drawing),관재,금속
보안 시스템용 적외선 감지 센서,조립,해당 없음,해당 없음
정밀 계측기용 방진 마운트,금형/사출성형,LIM(액상사출/실리콘사출),고무
반도체 공정용 고순도 가스 필터,용접,아크 용접,금속
건설 장비용 중하중 캐스터 휠,주조,사형 주조,금속
의류 산업용 자동 재봉틀 부품,절삭(CNC),밀링,금속
스마트 팩토리용 IoT 게이트웨이,SW 개발 / IT 서비스,임베디드 SW개발,해당 없음
태양광 발전용 특수 강화 유리,커팅,레이저 커팅,유리/세라믹
인체 삽입형 의료용 임플란트,3D프린팅,DMLS/SLM(금속 프린팅),금속
수소차용 고압 수소 저장 탱크,용접,아크 용접,금속
드론용 경량 브러시리스 모터,조립,해당 없음,해당 없음
해상 풍력용 내부식성 볼트 너트 세트,전조(form rolling),나사 전조,금속
스마트 농업용 정밀 관개 시스템 노즐,금형/사출성형,일반사출,플라스틱
고무 재질의 O-링,특수성형,고무 성형,고무
스테인리스 스틸 정밀 볼트,전조(form rolling),나사 전조,스테인리스 스틸
내열성 실리콘 가스켓,금형/사출성형,LIM(액상사출/실리콘사출),실리콘
고정밀 CNC 가공 브라켓,절삭(CNC),머시닝센터,금속
의료기기용 무균 플라스틱 하우징,금형/사출성형,일반사출,플라스틱
항공우주용 티타늄 합금 블록,단조(forging),자유단조,티타늄 합금
방수형 전기 커넥터,금형/사출성형,일반사출,플라스틱
냉간 단조 강철 기어,단조(forging),냉간 단조,강철
사출 성형 플라스틱 캡,금형/사출성형,일반사출,플라스틱
광학 등급 유리 렌즈,연마/폴리싱,해당 없음,유리
초소형 세라믹 베어링,연마/폴리싱,해당 없음,세라믹
산업 로봇용 서보 모터,조립,해당 없음,해당 없음
고장력 강철 와이어 로프,인발(drawing),선재,강철
디지털 계측용 센서 모듈,조립,해당 없음,해당 없음
내화학성 테플론 튜브,압출,기타 압출 성형,테플론
고주파 통신용 페라이트 코어,프레스,압축,페라이트
진공 성형 ABS 커버,플라스틱 성형,진공 성형,ABS
태양광 발전용 알루미늄 프레임,압출,기타 압출 성형,알루미늄
공조 시스템용 에어 필터,조립,해당 없음,해당 없음
중장비용 유압 실린더,조립,해당 없음,해당 없음
해양 환경용 부식 방지 코팅 스크류,표면처리,코팅,금속
전자 제품용 EMI 차폐 가스켓,특수성형,고무 성형,고무
스마트폰용 강화 유리 패널,커팅,단순 절단,유리
고압 밸브용 황동 바디,주조,금형주조(다이캐스팅),황동
특수 목적용 탄성 고무 댐퍼,특수성형,고무 성형,고무
식품 가공용 위생 등급 파이프,인발(drawing),관재,금속
자동화 설비용 리니어 가이드 레일,절삭(CNC),밀링,금속
광섬유 케이블용 광학 커넥터,조립,해당 없음,해당 없음
정밀 주조 스테인리스 펌프 하우징,주조,인베스트먼트주조,스테인리스
배터리 팩용 내열성 절연 필름,압출,기타 압출 성형,플라스틱
드론용 경량 마그네슘 합금 부품,주조,금형주조(다이캐스팅),마그네슘 합금
고온 환경용 니켈 합금 스프링,열처리,기타 열처리,니켈 합금
산업용 카메라 모듈 케이스,금형/사출성형,일반사출,플라스틱
의료용 인공관절 티타늄 임플란트,절삭(CNC),5축가공,티타늄
열 교환기용 동합금 튜브,인발(drawing),관재,동합금
LED 조명용 알루미늄 방열판,압출,기타 압출 성형,알루미늄
풍력 발전 터빈용 복합재 블레이드,플라스틱 성형,기타 플라스틱 성형,복합재
건설 중장비용 고무 트랙 패드,특수성형,고무 성형,고무
인쇄 회로 기판용 금도금 커넥터,표면처리,도금 (plating),금속
공장 자동화용 비전 시스템 카메라,조립,해당 없음,해당 없음
고속 회전용 초경량 알루미늄 풀리,절삭(CNC),선반,알루미늄
반도체 제조 공정용 정밀 노즐,절삭(CNC),5축가공,금속
자동차 전장용 방수 와이어 하네스,조립,해당 없음,해당 없음
정밀 알루미늄 케이스,절삭(CNC),밀링,금속
자동차 엔진용 단조 부품,단조(forging),형 단조,해당 없음
고강도 탄소강 볼트,단조(forging),냉간 단조,금속
극저온 스테인리스 스틸 밸브,절삭(CNC),밀링,금속
정밀 가공 황동 너트,절삭(CNC),선반,금속
사출 성형 플라스틱 하우징,금형/사출성형,일반사출,플라스틱
강화 유리 디스플레이 패널,커팅,워터젯 커팅,유리/세라믹
고효율 DC 모터,조립,해당 없음,해당 없음
산업용 솔레노이드 밸브,조립,해당 없음,해당 없음
소음 감소형 고무 댐퍼,특수성형,고무 성형,고무
비상 정지 푸시 버튼 스위치,조립,해당 없음,해당 없음
고속 회전용 볼 베어링,절삭(CNC),선반,금속
절삭 공구용 초경 인서트,열처리,기타 열처리,해당 없음
주조 알루미늄 브래킷,주조,금형주조(다이캐스팅),금속
전기차용 리튬 이온 배터리 모듈,조립,해당 없음,해당 없음
고해상도 CCD 이미지 센서,전자회로(pcb),제작,해당 없음
의료용 실리콘 튜빙,압출,기타 압출 성형,실리콘
방폭형 LED 조명기구,조립,해당 없음,해당 없음
압력 센서 내장형 유압 실린더,조립,해당 없음,해당 없음
냉간 압연 강판 프레임,판금,용접,금속
반도체 장비용 진공 챔버,제관,용접,금속
산업용 케이블 그랜드,금형/사출성형,일반사출,플라스틱
복합 재료 성형 블레이드,플라스틱 성형,기타 플라스틱 성형,해당 없음
유연성 강화 케이블 트레이,판금,벤딩/절곡,금속
건축용 구조용 강철 빔,압연(rolling),열간 압연,금속
식품 등급 스테인리스 파이프,인발(drawing),관재,금속
광섬유 통신 케이블,조립,해당 없음,해당 없음
고정밀 볼 스크류,연마/폴리싱,해당 없음,금속
열 성형 PET 트레이,플라스틱 성형,진공 성형,플라스틱
방수 방진 IP67 전원 공급 장치,조립,해당 없음,해당 없음
항공기용 티타늄 합금 랜딩 기어 부품,단조(forging),형 단조,금속
인쇄 회로용 구리 호일,압연(rolling),냉간 압연,금속
산업용 고무 벨트,압출,기타 압출 성형,고무
내열성 절연 세라믹 부싱,열처리,기타 열처리,유리/세라믹
광학용 비구면 렌즈,절삭(CNC),밀링,해당 없음
고압 유압 호스,압출,기타 압출 성형,고무
맞춤형 금속 스탬핑 부품,프레스,성형,금속
스마트 팩토리용 IoT 센서 모듈,SW 개발 / IT 서비스,임베디드 SW개발,해당 없음
냉각 시스템용 알루미늄 라디에이터,용접,브레이징,금속
자동차 내장재용 PP 컴파운드,해당 없음,해당 없음,플라스틱
비상용 비상 발전기 컨트롤러,SW 개발 / IT 서비스,임베디드 SW개발,해당 없음
정밀 제어용 스테퍼 모터,조립,해당 없음,해당 없음
로봇 팔 그리퍼용 특수 합금 부품,절삭(CNC),5축가공,금속
정밀 가공 스테인리스 스틸 샤프트,절삭(CNC),선반,스테인리스 스틸
고강도 알루미늄 다이캐스팅 하우징,주조,금형주조(다이캐스팅),알루미늄
열처리 합금강 기어,열처리,전경화 열처리,합금강
CNC 밀링 가공 티타늄 브라켓,절삭(CNC),밀링,티타늄
레이저 절단 탄소강 플레이트,커팅,레이저 커팅,탄소강
분말 야금법 제조 베어링 부시,금형/사출성형,MIM(금속사출),금속
자동차 엔진용 단조 커넥팅 로드,단조(forging),형 단조,금속
항공우주용 고정밀 티타늄 볼트,전조(form rolling),나사 전조,티타늄
전기 아연 도금 강판,표면처리,도금 (plating),강판
진공 주조 알루미늄 밸브 바디,주조,기타주조,알루미늄
충격 흡수용 우레탄 댐퍼,플라스틱 성형,기타 플라스틱 성형,우레탄
사출 성형 ABS 플라스틱 커버,금형/사출성형,일반사출,ABS 플라스틱
투명 폴리카보네이트 보호창,플라스틱 성형,진공 성형,폴리카보네이트
내화학성 PTFE 씰,플라스틱 성형,기타 플라스틱 성형,PTFE
정전기 방지 PE 필름,압출,기타 압출 성형,PE
고탄성 EPDM 고무 호스,압출,기타 압출 성형,EPDM 고무
초정밀 아크릴 렌즈,연마/폴리싱,해당 없음,아크릴
나일론 66 강화 플라스틱 기어,금형/사출성형,일반사출,나일론 66
연질 PVC 압출 프로파일,압출,기타 압출 성형,PVC
다층 인쇄회로기판,전자회로(pcb),제작,해당 없음
방수형 전선 커넥터,조립,해당 없음,복합 소재
SMD 타입 세라믹 캐패시터,전자회로(pcb),제작,세라믹
고효율 스위칭 전원 공급 장치,전자회로(pcb),설계,해당 없음
광학 센서 모듈,조립,해당 없음,해당 없음
산업용 터치스크린 디스플레이 패널,전자회로(pcb),제작,해당 없음
고주파 페라이트 코어 인덕터,전자회로(pcb),제작,페라이트
표면 실장형 LED 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
절연 코팅 구리 코일,표면처리,코팅,구리
전력용 MOSFET 반도체 칩,전자회로(pcb),제작,반도체
자동화 로봇용 서보 모터 어셈블리,조립,해당 없음,해당 없음
공압 실린더 부품 키트,조립,해당 없음,해당 없음
의료기기용 정밀 제어 밸브,절삭(CNC),머시닝센터,금속
공장 자동화용 컨베이어 벨트 모듈,조립,해당 없음,해당 없음
태양광 발전용 접이식 프레임,용접,아크 용접,금속
제약 생산라인용 스테인리스 스틸 탱크,제관,기타 제관 서비스,스테인리스 스틸
항공기 랜딩 기어용 유압 실린더,절삭(CNC),보링,금속
포장 기계용 정밀 그리퍼,절삭(CNC),밀링,금속
식품 등급 실리콘 튜브,압출,기타 압출 성형,실리콘
에너지 저장 시스템용 배터리 모듈,조립,해당 없음,해당 없음
내마모성 세라믹 노즐,주조,기타주조,세라믹
열전도성 알루미늄 히트싱크,압출,직접 압출,알루미늄
산업용 고강도 볼 베어링,조립,해당 없음,금속
내부식성 코팅 강철 파이프,표면처리,코팅,강철
정수 필터용 활성탄 카트리지,조립,해당 없음,해당 없음
방음용 흡음 패널,조립,해당 없음,해당 없음
차량용 고성능 브레이크 패드,프레스,압축,복합 소재
정밀 주조 알루미늄 합금 부품,주조,인베스트먼트주조,알루미늄 합금
냉간 압연 강판 코일,압연(rolling),냉간 압연,강판
정밀 알루미늄 가공 프레임,절삭(CNC),밀링,알루미늄
광학 등급 강화유리 렌즈,연마/폴리싱,해당 없음,유리
CNC 가공 스테인리스 스틸 샤프트,절삭(CNC),선반,스테인리스 스틸
고강도 탄소섬유 복합재 패널,플라스틱 성형,진공 성형,복합재
산업용 고무 트랙 벨트,특수성형,고무 성형,고무
사출 성형 플라스틱 커버,금형/사출성형,일반사출,플라스틱
내부식성 티타늄 볼트,단조(forging),형 단조,티타늄
맞춤형 동선 코일,인발(drawing),선재,동
정밀 연마 세라믹 베어링,연마/폴리싱,해당 없음,세라믹
의료용 실리콘 튜브,압출,직접 압출,실리콘
전자 기기용 방열판,압출,직접 압출,알루미늄
자동차 브레이크 시스템용 주철 디스크,주조,사형 주조,주철
고전압용 세라믹 절연체,주조,기타주조,세라믹
항공기용 경량 알루미늄 합금 리벳,단조(forging),냉간 단조,알루미늄 합금
로봇 암용 서보 모터,조립,해당 없음,해당 없음
맞춤형 폴리우레탄 롤러,플라스틱 성형,기타 플라스틱 성형,폴리우레탄
내화성 복합재 패킹,플라스틱 성형,기타 플라스틱 성형,복합재
반도체 장비용 진공 챔버,제관,기타 제관 서비스,금속
정밀 스틸 기어 세트,절삭(CNC),기어가공(호빙),스틸
광섬유 통신용 커넥터,금형/사출성형,일반사출,플라스틱
방수 밀폐형 케이블 그랜드,금형/사출성형,일반사출,플라스틱
에너지 효율형 LED 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
건설 중장비용 유압 실린더,절삭(CNC),보링,스틸
제조 설비용 진동 방지 마운트,특수성형,고무 성형,고무
내마모성 코팅 처리 블레이드,표면처리,코팅,금속
